2016-06-0819:00:00,-1,-0.1,-1.85106.82,106.92
2016-06-0820:00:00,1, 0.1,-1.75106.92,107.02
2016-06-0821:00:00,-1, 0.05,-1.7107.02,106.97
2016-06-0822:00:00,1,-0.11,-1.81106.97,106.86
2016-06-0823:00:00,1, 0.04,-1.77106.86,106.9
2016-06-0900:00:00,-1, 0.14,-1.63106.9,106.76
2016-06-0901:00:00,-1,-0.,-1.63106.76,106.76
2016-06-0902:00:00,-1, 0.21,-1.42106.76,106.55
2016-06-0903:00:00,1, 0.,-1.42106.55,106.55
2016-06-0904:00:00,-1,-0.07,-1.49106.55,106.62
2016-06-0905:00:00,-1, 0.05,-1.44106.62,106.57
2016-06-0906:00:00,-1,-0.1,-1.54106.57,106.67
2016-06-0907:00:00,-1,-0.04,-1.58106.67,106.71
2016-06-0908:00:00,-1, 0.35,-1.23106.71,106.36
2016-06-0909:00:00,-1,-0.12,-1.35106.36,106.48
2016-06-0910:00:00,1,-0.07,-1.42106.48,106.41
2016-06-0911:00:00,1, 0.06,-1.36106.41,106.47
2016-06-0912:00:00,-1,-0.02,-1.38106.47,106.49
2016-06-0913:00:00,-1,-0.11,-1.49106.49,106.6
2016-06-0914:00:00,1,-0.08,-1.57106.6,106.52
2016-06-0915:00:00,1,-0.07,-1.64106.52,106.45
2016-06-0916:00:00,1, 0.07,-1.57106.45,106.52
2016-06-0917:00:00,-1,-0.05,-1.62106.52,106.57
2016-06-0918:00:00,1, 0.22,-1.4106.57,106.79
2016-06-0919:00:00,-1,-0.06,-1.46106.79,106.85
2016-06-0920:00:00,-1,-0.23,-1.69106.85,107.08
2016-06-0921:00:00,-1,-0.,-1.69107.08,107.08
2016-06-0922:00:00,-1, 0.13,-1.56107.08,106.95
2016-06-0923:00:00,1, 0.07,-1.49106.95,107.02
2016-06-1000:00:00,-1,-0.08,-1.57107.02,107.1
2016-06-1001:00:00,-1,-0.06,-1.63107.1,107.16
2016-06-1002:00:00,1,-0.07,-1.7107.16,107.09
2016-06-1003:00:00,-1,-0.05,-1.75107.09,107.14
2016-06-1004:00:00,0,-0.,-1.75107.14,106.96
2016-06-1005:00:00,1, 0.07,-1.68106.96,107.03
2016-06-1006:00:00,1, 0.01,-1.67107.03,107.04
2016-06-1007:00:00,-1, 0.1,-1.57107.04,106.94
2016-06-1008:00:00,-1, 0.1,-1.47106.94,106.84
2016-06-1009:00:00,-1,-0.13,-1.6106.84,106.97
2016-06-1010:00:00,1,-0.17,-1.77106.97,106.8
2016-06-1011:00:00,1,-0.06,-1.83106.8,106.74
2016-06-1012:00:00,1, 0.09,-1.74106.74,106.83
2016-06-1013:00:00,-1,-0.05,-1.79106.83,106.88
2016-06-1014:00:00,1,-0.06,-1.85106.88,106.82
2016-06-1015:00:00,1, 0.06,-1.79106.82,106.88
2016-06-1016:00:00,1, 0.16,-1.63106.88,107.04
2016-06-1017:00:00,0, 0.,-1.63107.04,107.1
2016-06-1018:00:00,1,-0.32,-1.95107.1,106.78
2016-06-1019:00:00,-1, 0.01,-1.94106.78,106.77
2016-06-1020:00:00,0,-0.,-1.94106.77,106.76
2016-06-1021:00:00,0, 0.,-1.94106.76,106.93
2016-06-1022:00:00,1, 0.03,-1.91106.93,106.96
2016-06-1023:00:00,-1,-0.,-1.91106.96,106.96
2016-06-1100:00:00,-1,-0.,-1.91106.96,106.96
2016-06-1101:00:00,0, 0.,-1.91106.96,106.96
2016-06-1102:00:00,0, 0.,-1.91106.96,106.96
2016-06-1103:00:00,-1,-0.,-1.91106.96,106.96
2016-06-1104:00:00,-1,-0.,-1.91106.96,106.96
2016-06-1105:00:00,-1,-0.,-1.91106.96,106.96
2016-06-1106:00:00,0, 0.,-1.91106.96,106.96
2016-06-1107:00:00,0, 0.,-1.91106.96,106.96
2016-06-1108:00:00,0, 0.,-1.91106.96,106.96
2016-06-1109:00:00,0, 0.,-1.91106.96,106.96
2016-06-1110:00:00,0, 0.,-1.91106.96,106.96
2016-06-1111:00:00,0, 0.,-1.91106.96,106.96
2016-06-1112:00:00,0, 0.,-1.91106.96,106.96
2016-06-1113:00:00,0, 0.,-1.91106.96,106.96
2016-06-1114:00:00,0, 0.,-1.91106.96,106.96
2016-06-1115:00:00,0, 0.,-1.91106.96,106.96
2016-06-1116:00:00,0, 0.,-1.91106.96,106.96
2016-06-1117:00:00,0, 0.,-1.91106.96,106.96
2016-06-1118:00:00,0, 0.,-1.91106.96,106.96
2016-06-1119:00:00,0, 0.,-1.91106.96,106.96
2016-06-1120:00:00,0, 0.,-1.91106.96,106.96
2016-06-1121:00:00,0, 0.,-1.91106.96,106.96
2016-06-1122:00:00,0, 0.,-1.91106.96,106.96
2016-06-1123:00:00,0, 0.,-1.91106.96,106.96
2016-06-1200:00:00,0, 0.,-1.91106.96,106.96
2016-06-1201:00:00,1, 0.,-1.91106.96,106.96
2016-06-1202:00:00,1, 0.,-1.91106.96,106.96
