2017-05-1611:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.09],===== Acumulative PL = ,[-0.06],=====,113.54,:,113.63
2017-05-1612:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.04],===== Acumulative PL = ,[-0.02],=====,113.63,:,113.67
2017-05-1613:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.25],===== Acumulative PL = ,[ 0.23],=====,113.67,:,113.42
2017-05-1614:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.07],===== Acumulative PL = ,[ 0.3],=====,113.42,:,113.49
2017-05-1615:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.5],===== Acumulative PL = ,[-0.2],=====,113.49,:,112.99
2017-05-1616:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.24],===== Acumulative PL = ,[-0.44],=====,112.99,:,113.23
2017-05-1617:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.44],=====,113.23,:,113.23
2017-05-1618:00:00,: Prediction = ,[0],===== Actual PL = ,[-0.],===== Acumulative PL = ,[-0.44],=====,113.23,:,113.09
2017-05-1619:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.1],===== Acumulative PL = ,[-0.54],=====,113.09,:,112.99
2017-05-1620:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.07],===== Acumulative PL = ,[-0.61],=====,112.99,:,113.06
2017-05-1621:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.05],===== Acumulative PL = ,[-0.66],=====,113.06,:,113.11
2017-05-1622:00:00,: Prediction = ,[0],===== Actual PL = ,[-0.],===== Acumulative PL = ,[-0.66],=====,113.11,:,113.1
2017-05-1623:00:00,: Prediction = ,[0],===== Actual PL = ,[-0.],===== Acumulative PL = ,[-0.66],=====,113.1,:,112.81
2017-05-1700:00:00,: Prediction = ,[0],===== Actual PL = ,[-0.],===== Acumulative PL = ,[-0.66],=====,112.81,:,112.67
2017-05-1701:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.04],===== Acumulative PL = ,[-0.62],=====,112.67,:,112.63
2017-05-1702:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.02],===== Acumulative PL = ,[-0.64],=====,112.63,:,112.65
2017-05-1703:00:00,: Prediction = ,[0],===== Actual PL = ,[-0.],===== Acumulative PL = ,[-0.64],=====,112.65,:,112.46
2017-05-1704:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.09],===== Acumulative PL = ,[-0.55],=====,112.46,:,112.37
2017-05-1705:00:00,: Prediction = ,[0],===== Actual PL = ,[ 0.],===== Acumulative PL = ,[-0.55],=====,112.37,:,112.54
2017-05-1706:00:00,: Prediction = ,[0],===== Actual PL = ,[-0.],===== Acumulative PL = ,[-0.55],=====,112.54,:,112.46
2017-05-1707:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.09],===== Acumulative PL = ,[-0.46],=====,112.46,:,112.37
2017-05-1708:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.07],===== Acumulative PL = ,[-0.53],=====,112.37,:,112.44
2017-05-1709:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.07],===== Acumulative PL = ,[-0.46],=====,112.44,:,112.51
2017-05-1710:00:00,: Prediction = ,[0],===== Actual PL = ,[-0.],===== Acumulative PL = ,[-0.46],=====,112.51,:,112.36
2017-05-1711:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.06],===== Acumulative PL = ,[-0.52],=====,112.36,:,112.42
2017-05-1712:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.07],===== Acumulative PL = ,[-0.45],=====,112.42,:,112.35
2017-05-1713:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.4],===== Acumulative PL = ,[-0.85],=====,112.35,:,111.95
2017-05-1714:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.55],===== Acumulative PL = ,[-0.3],=====,111.95,:,111.4
2017-05-1715:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.14],===== Acumulative PL = ,[-0.16],=====,111.4,:,111.26
2017-05-1716:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.2],===== Acumulative PL = ,[ 0.04],=====,111.26,:,111.46
2017-05-1717:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.07],===== Acumulative PL = ,[-0.03],=====,111.46,:,111.39
2017-05-1718:00:00,: Prediction = ,[-1],===== Actual PL = ,[ 0.41],===== Acumulative PL = ,[ 0.38],=====,111.39,:,110.98
2017-05-1719:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.12],===== Acumulative PL = ,[ 0.26],=====,110.98,:,111.1
2017-05-1720:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.13],===== Acumulative PL = ,[ 0.13],=====,111.1,:,110.97
2017-05-1721:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.17],===== Acumulative PL = ,[-0.04],=====,110.97,:,110.8
2017-05-1722:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.09],===== Acumulative PL = ,[-0.13],=====,110.8,:,110.71
2017-05-1723:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.21],===== Acumulative PL = ,[-0.34],=====,110.71,:,110.92
2017-05-1800:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.15],===== Acumulative PL = ,[-0.19],=====,110.92,:,111.07
2017-05-1801:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.14],===== Acumulative PL = ,[-0.33],=====,111.07,:,110.93
2017-05-1802:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.1],===== Acumulative PL = ,[-0.43],=====,110.93,:,111.03
2017-05-1803:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.02],===== Acumulative PL = ,[-0.41],=====,111.03,:,111.05
2017-05-1804:00:00,: Prediction = ,[1],===== Actual PL = ,[-0.08],===== Acumulative PL = ,[-0.49],=====,111.05,:,110.97
2017-05-1805:00:00,: Prediction = ,[1],===== Actual PL = ,[ 0.18],===== Acumulative PL = ,[-0.31],=====,110.97,:,111.15
2017-05-1806:00:00,: Prediction = ,[-1],===== Actual PL = ,[-0.08],===== Acumulative PL = ,[-0.39],=====,111.15,:,111.23
